"","user_location","frequency"
"1","Alabama",10
"2","Alaska",8
"3","Arizona",24
"4","Arkansas",12
"5","California",61
"6","Colorado",44
"7","Connecticut",8
"8","Delaware",16
"9","Florida",68
"10","Georgia",30
"11","Hawaii",2
"12","Idaho",5
"13","Illinois",11
"14","Indiana",11
"15","Iowa",9
"16","Kansas",6
"17","Kentucky",11
"18","Louisiana",16
"19","Maine",9
"20","Maryland",9
"21","Massachusetts",7
"22","Michigan",27
"23","Minnesota",19
"24","Mississippi",2
"25","Missouri",9
"26","Montana",6
"27","Nebraska",1
"28","Nevada",12
"29","New Hampshire",8
"30","New Jersey",23
"31","New Mexico",7
"32","New York",58
"33","North Carolina",32
"34","Ohio",29
"35","Oklahoma",7
"36","Oregon",7
"37","Pennsylvania",17
"38","Rhode Island",2
"39","South Carolina",16
"40","South Dakota",1
"41","Tennessee",11
"42","Texas",111
"43","Utah",11
"44","Vermont",10
"45","Virginia",24
"46","Washington",15
"47","West Virginia",5
"48","Wisconsin",22
